date	timestamp	Volume Flow	Suction Status	IADS Status	Sensor Calibration Status	Sensor LED Status	Sensor Data Status	Sensor Noise Status	Aerosol pump output [%]	Temperature of IADS [C°]	Temperature of LED [C°]	Volume flow [l/min]	Air Quality Index AQI [%]	Infection Risk Index [%]	Air temperature [C°]	Relative humidity [%]	Wind speed [km/h]	Wind direction [°]	Precipitation intensity [l/m²/h]	Precipitation type	Temperature dew point [°C]	Air pressure [hPa]	Wind signal quality	CO2 [ppm]	VOC [mg/m3]	SO2 [µg/m³]	NO2 [µg/m³]	O3 [µg/m³]	CO [mg/m³]	NH3 [ppm]	Cn [P/cm3]	PM1 [µg/m3]	PM2.5 [µg/m3]	PM4 [µg/m3]	PM10 [µg/m3]	PMtotal [µg/m3]	PM2.5_CE [µg/m³]	PM10_CE [µg/m³]	0.18445	0.19825	0.21305	0.2289	0.24595	0.2643	0.28405	0.30525	0.328	0.3525	0.3788	0.40705	0.43745	0.4701	0.50515	0.5428	0.5833	0.62685	0.6736	0.72385	0.77785	0.8359	0.8983	0.9653	1.0373	1.1147	1.19785	1.2872	1.38325	1.48645	1.59735	1.71655	1.84465	1.98225	2.1301	2.28905	2.45985	2.64335	2.84055	3.0525	3.28025	3.52495	3.78795	4.0706	4.3743	4.70065	5.05135	5.4282	5.8332	6.2684	6.73605	7.2386	7.77865	8.359	8.98265	9.65285	10.37305	11.14695	11.9786	12.8723	13.83265	14.8647	15.97375	17.1655	checksum
2024-04-27 15:23:07	 1714220587	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	16.926338	-63.073729	38.360555	1.001844	NaN	NaN	8.322324	94.700000	NaN	NaN	NaN	NaN	NaN	996.000000	NaN	437.000000	1.090183	-0.651827	146.585516	7.055342	1.095664	NaN	82.498741	2.427704	2.786596	3.154940	3.154390	3.175998	NaN	NaN	7.433973	15.524484	12.936051	10.907233	9.573871	7.490217	8.195471	6.915664	1.695134	0.553420	0.316694	0.102468	0.196361	0.144267	0.076011	0.114279	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.110376	0.047971	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	29
2024-04-27 15:23:39	 1714220619	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	16.983173	-63.073729	38.408238	0.982584	NaN	NaN	8.333049	94.700000	NaN	NaN	NaN	NaN	NaN	996.000000	NaN	437.000000	1.075860	-0.627286	152.884362	8.392121	1.096321	NaN	81.126399	2.706393	2.810459	2.942202	2.942202	2.942202	NaN	NaN	5.515613	15.764510	13.975609	9.416406	7.428400	9.294646	7.701870	6.487116	1.924476	1.212933	0.158347	0.791735	0.158347	0.052782	0.346072	0.234533	0.158347	0.000000	0.052782	0.000000	0.000000	0.158347	0.000000	0.000000	0.000000	0.004553	0.048229	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1B
2024-04-27 15:24:11	 1714220651	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	17.078008	-63.073729	38.408238	0.997738	NaN	NaN	8.333049	94.700000	NaN	NaN	NaN	NaN	NaN	996.000000	NaN	437.000000	1.075860	-0.477692	148.476875	6.212000	1.101896	NaN	83.290471	2.387851	2.448000	2.552528	2.552528	2.552528	NaN	NaN	7.004553	15.616483	14.743980	12.089517	10.998025	6.976599	6.113660	6.785428	1.321680	0.727312	0.169987	0.052782	0.000000	0.000000	0.052782	0.000000	0.000000	0.105565	0.000000	0.000000	0.000000	0.000000	0.158347	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	14
2024-04-27 15:24:43	 1714220683	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	17.043036	-63.073729	38.432078	1.024289	NaN	NaN	8.343774	94.700000	NaN	NaN	NaN	NaN	NaN	996.000000	NaN	438.000000	1.109141	-0.453031	142.908068	3.821227	1.102559	NaN	83.026560	2.647540	2.662708	2.776403	2.776403	2.776403	NaN	NaN	5.167068	14.521372	14.123498	12.206740	9.152909	10.059630	9.354373	5.356346	1.264432	0.342290	0.158347	0.105565	0.193265	0.334558	0.211129	0.183777	0.127990	0.140801	0.022473	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	12
2024-04-27 15:25:15	 1714220715	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	16.951077	-63.073729	38.432078	1.017152	NaN	NaN	8.375950	94.700000	NaN	NaN	NaN	NaN	NaN	996.000000	NaN	438.000000	1.104254	-0.503833	154.233990	6.354747	1.102375	NaN	81.601438	2.798630	2.976199	3.107866	3.107866	3.107866	NaN	NaN	5.962516	14.888668	11.719991	10.985342	10.781499	7.218330	6.681122	8.556538	2.089940	0.518499	0.339891	0.433982	0.158347	0.042134	0.168995	0.158347	0.100638	0.140801	0.022473	0.158347	0.052782	0.000000	0.000000	0.105565	0.158347	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	12
2024-04-27 15:25:47	 1714220747	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	16.929015	-63.073729	38.455918	0.994884	NaN	NaN	8.397400	94.700000	NaN	NaN	NaN	NaN	NaN	996.000000	NaN	438.000000	1.096238	-0.587847	158.542973	8.536961	1.096633	NaN	85.348986	2.859958	3.189791	3.372233	3.371938	3.372495	NaN	NaN	6.511401	15.026187	14.552477	11.581587	8.519521	9.569971	7.613418	7.006354	2.504022	0.633388	0.105565	0.263912	0.093655	0.170256	0.000000	0.076290	0.240403	0.124637	0.033710	0.000000	0.000000	0.000000	0.000000	0.224571	0.092123	0.000000	0.115941	0.042406	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2F
2024-04-27 15:26:19	 1714220779	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	16.979015	-63.073729	38.455918	1.003592	NaN	NaN	8.408125	94.700000	NaN	NaN	NaN	NaN	NaN	996.000000	NaN	438.000000	1.118405	-0.654968	155.569327	9.030216	1.098384	NaN	79.015109	2.577337	2.740629	2.871227	2.871227	2.871227	NaN	NaN	7.458618	14.825903	13.337505	8.969827	6.324014	9.321761	8.386337	6.371157	2.037424	0.158347	0.263912	0.369476	0.093655	0.138313	0.031943	0.158347	0.100638	0.216056	0.000000	0.000000	0.211129	0.000000	0.000000	0.000000	0.047021	0.111326	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1C
2024-04-27 15:26:51	 1714220811	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	17.011963	-63.073729	38.455918	0.989066	NaN	NaN	8.397400	94.700000	NaN	NaN	NaN	NaN	NaN	996.100000	NaN	438.000000	1.061442	-0.604528	158.755636	8.607324	1.098808	NaN	84.873940	2.773936	2.781696	2.900472	2.900472	2.900472	NaN	NaN	5.488104	13.727723	14.971951	11.452530	10.053628	8.801983	7.490557	7.894235	2.224546	1.203080	0.449363	0.268631	0.055879	0.126403	0.120079	0.463195	0.082056	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	17
2024-04-27 15:27:23	 1714220843	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	17.112148	-63.073729	38.098262	1.003415	NaN	NaN	8.375950	94.700000	NaN	NaN	NaN	NaN	NaN	996.000000	NaN	438.000000	1.075696	-0.303894	152.330563	7.058224	1.099657	NaN	85.190636	2.650392	2.676635	2.790925	2.790925	2.790925	NaN	NaN	6.480603	14.201534	14.531672	12.737503	8.757708	9.588829	9.149767	6.119967	1.798843	0.563547	0.386535	0.260815	0.055879	0.000000	0.158347	0.000000	0.100638	0.057709	0.000000	0.158347	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	21
2024-04-27 15:27:55	 1714220875	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	17.031360	-63.073729	38.177752	1.014564	NaN	NaN	8.365225	94.700000	NaN	NaN	NaN	NaN	NaN	996.100000	NaN	438.000000	1.080605	-0.719999	137.449765	6.072845	1.101711	NaN	80.598572	2.358321	2.358321	2.459019	2.459019	2.459019	NaN	NaN	5.829018	13.753857	14.408372	11.990623	10.749724	7.435448	7.041942	6.165626	1.800432	0.790145	0.475041	0.000000	0.000000	0.158347	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1F
